book_index,family_id,home,slug,space_claim,claim_kind,evidence,time,coordinates,relations,support,boundary,source,reason,limit
"B005","SPF005","substitua","context-dependent-substitution","t+2D periodic block grid","variant","shown","discrete generation t∈N; each generation appends an immutable complete t+1 slice","[t,x,y]","overlapping finite 2D context windows on the old slice; aligned child-block placement","finite dynamic rectangular support; every context-eligible old tile acts","periodic in both spatial dimensions","ref/A-New-Kind-of-Science/CHAPTERS/05-Two-Dimensions-and-Beyond/05-Two-Dimensions-and-Beyond.md:L211-L227 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L360-L366","The Book shows a two-dimensional neighbor-dependent substitution system and explicitly states that its grid wraps in both dimensions; the Notes expose overlapping 2x2 old-slice contexts.","The shown implementation does not establish arbitrary nonperiodic edge padding."
"B005","SPF005","substitua","context-dependent-substitution","t+dD compatible local-block grid for every finite d>=1","variant","proved","discrete generation t∈N; each generation appends an immutable complete t+1 slice","[t,x_1,...,x_d] for finite d>=1","finite rank-d old-slice context and declared compatible child-block placement","finite dynamic rank-d support; all eligible old loci act","infinite support; periodic identification; or another declared resolver that either supplies the complete old context or excludes the edge locus","ref/A-New-Kind-of-Science/CHAPTERS/03-The-World-of-Simple-Programs/03-The-World-of-Simple-Programs.md:L333-L337 | ref/A-New-Kind-of-Science/CHAPTERS/05-Two-Dimensions-and-Beyond/05-Two-Dimensions-and-Beyond.md:L211-L227 | ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/05-Two-Dimensions-and-Beyond-Notes/05-Two-Dimensions-and-Beyond-Notes.md:L360-L366","For any fixed finite d; replace each context offset and child placement by a vector in Z^d. Every choice still reads only the immutable t slice; every old locus has one context-selected patch; and compatible patches assemble atomically into t+1.","Requires finite contexts; a rank-preserving boundary resolver; and a total compatible patch-assembly law. Free geometry lacks a stable neighbor relation; topology-changing replacement is outside the proof."
"B005","SPF005","substitua","context-dependent-substitution","free Euclidean occurrence geometry without declared adjacency","excluded","stated","would require explicit generation t","occurrence coordinates alone do not supply the needed context","no stable neighbor relation","dynamic geometric occurrence support","not applicable until adjacency is defined","ref/A-New-Kind-of-Science/CHAPTERS/05-Two-Dimensions-and-Beyond/05-Two-Dimensions-and-Beyond.md:L189-L219","The Book says free geometrical replacements can place elements anywhere in the plane; making an obvious notion of neighbors difficult; and contrasts this with the grid needed for interacting replacements.","It becomes admissible only after Space declares a stable relation that resolves every context; that is additional structure not evidenced for this variant."
"B005","SPF005","substitua","context-dependent-substitution","higher-dimensional sequential scan","excluded","stated","discrete t would be explicit","a scan order would linearize the addressed set","global total scan order rather than parallel contextual reads","one replacement per scan step","scan endpoints and traversal policy","ref/A-New-Kind-of-Science/CHAPTERS/05-Two-Dimensions-and-Beyond/05-Two-Dimensions-and-Beyond.md:L221-L231","The Book treats scanning for one replacement as the sequential-substitution mechanic and says a chosen higher-dimensional scan order effectively reduces the system to one dimension. It is not a Space variant of parallel context-dependent substitution.","Order-independent higher-dimensional constructions require different mechanics and evidence."
"B021","SPF034","automata","mutable-rule-local-automaton","outer mutation history over independently addressable rule entries","native","shown","discrete mutation time m; m+1 preserves every prior program and replaces one complete immutable rule-table slice","[m,r], with r a finite neighborhood-rule entry","r is keyed by one of the 27 three-cell neighborhoods","finite complete rule table at every m; unspecified entries mean no color change","none for the rule table","ref/A-New-Kind-of-Science/CHAPTERS/08-Implications-for-Everyday-Systems/08-Implications-for-Everyday-Systems.md:L319-L329","Successive programs differ by one added or modified rule entry, so program mutation time and rule-entry address are native coordinates.","The source mutates between complete programs; it does not show the rule changing during one CA rollout."
"B021","SPF034","automata","mutable-rule-local-automaton","evaluated one-dimensional CA behavior for every mutated program","variant","shown","two discrete axes: outer mutation m and inner CA evolution tau; both are immutable histories","[m,tau,x]","nearest-neighbor order on x and lookup from each three-cell neighborhood to rule entry r","one complete 1D CA history per program; nonupdated cells are copied within each tau+1 slice","CA boundary is not specified by the passage","ref/A-New-Kind-of-Science/CHAPTERS/08-Implications-for-Everyday-Systems/08-Implications-for-Everyday-Systems.md:L319-L329","The displayed result is a sequence of separately evaluated nearest-neighbor 1D cellular-automaton programs, requiring mutation, rollout-time, and cell axes.","The passage does not identify m with tau and does not establish persistent CA state across mutations."
"B021","SPF034","automata","mutable-rule-local-automaton","single-rollout coevolution of cells and rule entries","unknown","unresolved","would require one discrete t whose complete slice includes both cells and rule entries","[t,tag,address], with tag in {cell,rule-entry}","would require a specified coupling between mutation and cell update","unknown","unknown","ref/A-New-Kind-of-Science/CHAPTERS/08-Implications-for-Everyday-Systems/08-Implications-for-Everyday-Systems.md:L319-L329","A coevolving representation is plausible but is not what the Book passage actually describes.","No source rule says when mutation occurs relative to CA updates or whether cell state survives mutation."
"B021","SPF034","automata","mutable-rule-local-automaton","two- or three-dimensional cellular substrate","unknown","unresolved","would require [m,tau,x,y] or [m,tau,x,y,z] immutable histories","[m,tau,x,y] or [m,tau,x,y,z] plus rule-entry addresses","would require corresponding multidimensional neighborhoods","unknown","unknown","ref/A-New-Kind-of-Science/CHAPTERS/08-Implications-for-Everyday-Systems/08-Implications-for-Everyday-Systems.md:L319-L329","Only three-cell nearest-neighbor rules are identified.","No Book evidence here establishes multidimensional mutation experiments or a dimension-independent closure."
"B022","SPF017","criteria","geometric-embedding-relation","intrinsic two-dimensional material-sheet Space with embedding vectors as values","native","shown","one-shot relational stages t in {0,1}; each solution preserves the input sheet and adds a complete immutable embedding slice","[t,u,v], with u,v intrinsic continuous surface coordinates or corresponding material-cell addresses","surface adjacency, intrinsic metric, and the whole-sheet equal-cell constraint","a disk or sheet whose local material scale may vary","the material edge and any declared embedding boundary","ref/A-New-Kind-of-Science/CHAPTERS/08-Implications-for-Everyday-Systems/08-Implications-for-Everyday-Systems.md:L563-L569;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes/08-Implications-for-Everyday-Systems-Notes.md:L224-L226","The source uses a growth field h[x,y] and a curvature field c[x,y] on a surface. Its planar or three-dimensional position is an R2 or R3 value attached to each intrinsic point.","Ambient x,y,z occupancy is not a native t+3D Space; the evidence covers intrinsic rank two only."
"B022","SPF017","criteria","geometric-embedding-relation","higher intrinsic dimension d greater than 2","unknown","unresolved","would require one-shot t+dD intrinsic coordinates","[t,u1,...,ud]","would require a sourced higher-dimensional metric-growth and embedding constraint","unknown","unknown","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes/08-Implications-for-Everyday-Systems-Notes.md:L224-L226","The cited family construction is specifically a surface governed by h[x,y].","The nearby higher-curvature discussion concerns a different curvature-to-object construction and does not prove this sheet-growth relation for d greater than 2."
"B023","SPF031","substitua","moving-frontier-shell-accretion","one-dimensional horn or strip with a moving growth end","native","shown","explicit monotone growth stage T; every later slice retains prior material and adds material only at the active end","[T,u], with 0<=u<=T along the accumulated strip","linear material order and the active base or tip relation","monotonically growing 1D material support","single moving growth end","ref/A-New-Kind-of-Science/CHAPTERS/08-Implications-for-Everyday-Systems/08-Implications-for-Everyday-Systems.md:L573-L579","The horn model progressively adds material at one end and is explicitly called the one-dimensional analog of shell growth.","The ambient planar curve is an embedding value, not a second native coordinate."
"B023","SPF031","substitua","moving-frontier-shell-accretion","two-dimensional shell surface accreted along a one-dimensional rim","variant","shown","explicit monotone growth parameter T; the T slice is the complete surface with longitudinal coordinate u<=T","[T,u,theta]","u orders successive openings; theta orders points around the current opening; the rim is u=T","monotonically growing 2D surface support","moving open rim; self-intersecting parameter values may require restricting theta","ref/A-New-Kind-of-Science/CHAPTERS/08-Implications-for-Everyday-Systems/08-Implications-for-Everyday-Systems.md:L581-L595;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes/08-Implications-for-Everyday-Systems-Notes.md:L232-L246","The complete shell surface is parameterized by two intrinsic coordinates, while new material is added only at the current opening.","The source phrase three-dimensional version refers to the R3 embedding; {x,y,z} are position values, not three independent material axes."
"B023","SPF031","substitua","moving-frontier-shell-accretion","intrinsic shell dimension d greater than 2","unknown","unresolved","would require [T,u1,...,ud] with a sourced codimension-one moving frontier","[T,u1,...,ud]","would require a higher-dimensional rim and attachment law","unknown","unknown","ref/A-New-Kind-of-Science/CHAPTERS/08-Implications-for-Everyday-Systems/08-Implications-for-Everyday-Systems.md:L579-L595;ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/08-Implications-for-Everyday-Systems-Notes/08-Implications-for-Everyday-Systems-Notes.md:L234-L246","The Book supplies intrinsic ranks one and two only.","Calling the shell three-dimensional does not prove intrinsic t+3D support."
"B024","SPF036","dynamica","ordinary-differential-flow","continuous t-only trajectory with an arbitrary finite vector-valued state","native","stated","continuous t in an interval of R; the trajectory is immutable and has no discrete t+1 copying rule","[t]","simultaneous derivative coupling among finitely many value components","one state value, possibly a finite vector, at every admitted t","initial values and optional terminal event or horizon","ref/A-New-Kind-of-Science/BACK-MATTER/NOTES/04-Systems-Based-on-Numbers-Notes/04-Systems-Based-on-Numbers-Notes.md:L899-L905","The Book explicitly defines ODE systems as finitely many continuous variables changing continuously with time. Variable count is value-product rank, not spatial rank.","This proves any finite-dimensional value vector but no additional spatial coordinate axis."
