document_id,raw_start_line,raw_end_line,first_pass,second_pass,authoritative_start,authoritative_end,reviewer_type,notes
N03,11631,12498,YES,YES,pdf:0899,pdf:0916,agent,Complete first-pass integration and wholly fresh post-operator source technical and visual closing passes finished 2026-07-16 over all 18 pages including intentional blank PDF 916; 25 guarded corrections G5-C-0949 through G5-C-0973; final 82769-byte 867-line Markdown with 52 fenced blocks 298 inline-code spans one math span 258 emphasis spans and 45 live image references verified; 40 mapped records include one source-false-positive raster-text disposition plus 4 repaired-only overrides and 6 additions; all final ledgers close with zero discrepancy ambiguity or source omission
N04,12499,13459,YES,YES,pdf:0917,pdf:0942,agent,Complete forward first pass and repeated mandatory fresh source technical and visual final-output restarts finished 2026-07-16 over all 26 pages including intentional blank PDF 942; 76 guarded corrections G5-C-0974 through G5-C-1049; final 115687-byte 1040-line Markdown with 11 headings 110 main notes 8 subitems 47 fences 318 inline-code spans 129 true inline-math spans plus 6 display-math blocks 300 emphasis spans 500 marked technical objects and 91 structural displays verified; 71 mapped rows include 30 source-redundant partial-crop dispositions plus 11 source-added composites G5-A-0050 through G5-A-0060 and 52 live references with zero repaired-only overrides; seven display-boundary repairs triggered the final complete restarts; all final ledgers close with zero discrepancy ambiguity or source omission
N05,13460,14198,YES,YES,pdf:0943,pdf:0962,agent,Complete forward first pass and wholly fresh post-repair source technical and visual closing passes finished 2026-07-16 over all 20 owned pages including intentional blank PDF 962 with the N06 handoff on PDF 963 independently verified; 164 guarded corrections G5-C-1050 through G5-C-1213; final 86868-byte 757-line Markdown with 49 fences 78 inline-code spans 74 math spans and 37 live image references verified; 59 mapped rows include 33 source-redundant partial-crop dispositions and 4 repaired-only overrides plus 11 additions G5-A-0061 through G5-A-0071; all final ledgers close with zero discrepancy ambiguity or source omission
N06,14199,14847,YES,YES,pdf:0963,pdf:0982,agent,Complete forward first pass and wholly fresh post-grouping-and-column-join source technical and visual closing restarts finished 2026-07-17 over all 20 owned pages including blank PDF 982 with blank PDF 962 and the N07 handoff on PDF 983 independently checked; 188 guarded corrections G5-C-1214 through G5-C-1401; final 85467-byte 666-line Markdown with 35 fences 19 inline-code spans 146 math spans and 42 live image references verified; 64 mapped rows comprise 30 source-redundant partial-crop dispositions 28 retained originals and 6 repaired-only overrides plus 8 additions G5-A-0072 through G5-A-0079; all final ledgers close with zero discrepancy ambiguity or source omission
N07,14848,15582,YES,YES,pdf:0983,pdf:1006,agent,Complete forward first pass and wholly fresh post-R2 source technical and visual R3 closing passes finished 2026-07-17 over all 24 owned pages with blank PDF 982 and the N08 handoff on PDF 1007 independently checked; 217 guarded corrections G5-C-1402 through G5-C-1618; final 115684-byte 692-LF Markdown with 37 fenced blocks 79 inline-code spans 262 math spans and 43 live image references verified; 88 mapped rows comprise 59 source-redundant partial-crop dispositions 20 retained originals and 9 repaired-only overrides plus 14 additions G5-A-0080 through G5-A-0093; all final R3 ledgers close with zero discrepancy ambiguity or source omission
N08,15583,16011,YES,YES,pdf:1007,pdf:1032,agent,Complete forward first pass and wholly fresh post-five-repair source technical and visual final closing passes finished 2026-07-17 over all 26 owned pages including blank PDF 1032 with boundary pages 1006 and 1033 independently checked; 293 guarded corrections G5-C-1619 through G5-C-1911; final 134385-byte 358-LF Markdown with 9 headings 128 note labels 6 fenced code blocks 23 inline-code spans 128 math spans and 12 live image references verified; 32 mapped rows comprise 29 source-redundant partial-crop dispositions and 3 retained originals plus 9 additions G5-A-0094 through G5-A-0102; all fresh final ledgers close with zero discrepancy ambiguity or source omission after the last five findings forced a complete restart
N09,16012,17086,YES,YES,pdf:1033,pdf:1082,agent,Complete forward first pass and wholly fresh post-punctuation-repair source technical and visual closing passes finished 2026-07-17 over all 50 owned pages including blank PDF 1082 with boundary pages 1032 and 1083 independently checked; 894 guarded corrections G5-C-1912 through G5-C-2805; final 262097-byte 1000-LF Markdown with 16 headings 174 note labels 38 fenced code blocks 82 inline-code spans 403 inline-math spans and 32 live image references verified; 70 mapped rows comprise 54 source-redundant partial-crop dispositions 13 retained originals and 3 repaired-only overrides plus 16 additions G5-A-0103 through G5-A-0118; all fresh final source technical and visual ledgers close with zero discrepancy ambiguity or source omission after the final punctuation repair forced complete restarts
N10,17087,18194,YES,YES,pdf:1083,pdf:1122,agent,Closed after the strict full-range discrepancy sweep and guarded repair cycle produced the exact 197955-byte 1098-LF target SHA-256 6044152950100dc26031174038686d69fcf3e2c5482e85283e2c8757016f036a with 584 N10 corrections G5-C-2806 through G5-C-3360 plus G5-C-4446 through G5-C-4474; three wholly fresh post-repair source technical and visual traversals each covered all 40 pages plus boundaries and sealed CLEAN_ZERO_FINDINGS; independently reproduced source technical and visual manifest hashes are c399a6cc78ec2b3478e41bc38e84e567381a946625243a5cfdcb2a7208ae9271 and 8aa83f6724425461ca808c90bf7caf68f27fcb831d242c16d9671f5e48440a35 and 32f95664b3689964d019b8475bfbcd9d2560c0de558b9fbe2355dd6b1feb5f9b; all 91 mapped rows and 23 additions G5-A-0119 through G5-A-0141 are source-accounted
N11,18195,19027,YES,YES,pdf:1123,pdf:1140,agent,Complete forward first pass and fourth wholly fresh post-literal-s3-repair source technical and visual closing passes finished 2026-07-18 over all 18 owned pages with boundary pages 1122 and 1141 and blank PDF 1140 independently checked; 216 guarded corrections G5-C-3361 through G5-C-3576; final 87971-byte 986-LF Markdown with 11 headings 70 note labels 66 fenced blocks 3 inline-code spans 61 inline-math spans and 21 live image references verified; all 14 mapped rows retained plus 7 additions G5-A-0142 through G5-A-0148; final source technical and visual report hashes 37538ff98b2b64c9bc4380fe7602d0027be66ef05cd9813e3cb05b26ccb46f99 d0f88d9dabe98fc27cac850adea798c419ebfef51a5b5328d17cb2ddb66685a1 and cf0d64a75b7914b1e15cc64450ffc7c9c7981569a941f03ef00c56955306d5c2 close with zero discrepancy ambiguity source omission asset caption crop reference order or render finding after every late repair forced a full restart
N12,19028,20825,YES,YES,pdf:1141,pdf:1216,agent,Closed after the reopened spacing token syntax NAND and whitespace repair cycles produced the exact 397424-byte 1857-LF target SHA-256 44a64dc63fdf70e139d74ab8f960880fe3f44df5a116af69506dc05e4d4dabeb with 929 N12 corrections G5-C-3577 through G5-C-4445 plus G5-C-4475 through G5-C-4534; three wholly fresh replacement-pin source technical and visual traversals each covered all 76 pages plus boundaries and sealed CLEAN_ZERO_FINDINGS; independently reproduced source technical and visual manifest hashes are a0f6f8e69fad9ded035b9a301b6c2fcad630a27375b864e6bd2fb37f23b35671 and eef649d0eda07b92a9f18b38d317113fc38cbcb47783846ef9b3462830f0777f and 57477733f74fac3828476abfd5e525884dacc694547bbad3c17878732c610036; all 38 mapped rows and 15 additions G5-A-0149 through G5-A-0163 and five structural tables are source-accounted
INDEX,20826,22457,YES,YES,pdf:1217,pdf:1279,agent,Complete fixed-layout reconstruction and wholly fresh clean-room source comparison finished 2026-07-19 over all 63 pages and all 252 printed columns; guarded correction G5-C-4829 produces the exact 503396-byte 17740-LF target SHA-256 9aa140977bdd7e94ef352d91efe57ff2fb0a1dbb375a6c673da146f2e745a9af; all 17732 semantic entries and 1132 visible markup spans and 28 divider objects close with zero finding or ambiguity; separate Stage 9 technical closure reconciles 20748 source rows and 127313 target rows with 258 original-detail crops and root-replayed 29-mutation and 37-file seal gates
COLOPHON,22458,22498,YES,YES,pdf:1280,pdf:1280,agent,Complete fixed-layout reconstruction and independent final-output source comparison finished 2026-07-19 over PDF 1280 and both ownership boundaries; guarded correction G5-C-4830 produces the exact 2992-byte 39-LF target SHA-256 44641db1c2ceabc1baf7856aa9b6a67ff0ef360181beb9041ec84d28b20493e9; all 67 source runs and 20 logical blocks and 18 visible italic spans close with zero finding or ambiguity; separate Stage 9 technical closure and root-replayed manifest and mutation gates pass
